receipt_no,user_id,item_id,unit,date_jst
5307465824,34860083,s_00001,1.0,2020-10-04 00:06:47
5307465824,34860083,s_00004,1.0,2020-10-04 00:06:47
5307465825,45587843,s_00001,1.0,2020-10-04 00:12:54
5307465826,0,s_00002,1.0,2020-10-04 00:15:01
5307465826,0,s_00003,1.0,2020-10-04 00:15:01
5307465827,0,s_00005,1.0,2020-10-04 00:17:52
5307465828,54852497,s_00005,1.0,2020-10-04 00:22:12
5307465829,23543782,s_00001,1.0,2020-10-04 00:23:55
5307465830,20061194,s_00005,1.0,2020-10-04 00:26:17
5307465831,29213200,s_00002,1.0,2020-10-04 00:29:21
5307465832,65981004,s_00001,1.0,2020-10-04 00:29:56
5307465833,0,s_00002,1.0,2020-10-04 00:33:50
5307465833,0,s_00003,1.0,2020-10-04 00:33:50
5307465834,0,s_00005,1.0,2020-10-04 00:34:25
5307465835,0,s_00001,1.0,2020-10-04 00:40:40
5307465836,49720208,s_00001,1.0,2020-10-04 00:46:08
5307465837,0,s_00001,1.0,2020-10-04 00:47:29
5307465837,0,s_00004,1.0,2020-10-04 00:47:29
5307465838,0,s_00005,1.0,2020-10-04 00:51:26
5307465839,41169191,s_00002,1.0,2020-10-04 00:53:06
5307465839,41169191,s_00005,1.0,2020-10-04 00:53:06
5307465840,0,s_00001,1.0,2020-10-04 00:57:06
5307465840,0,s_00005,1.0,2020-10-04 00:57:06
5307465841,91149356,s_00005,1.0,2020-10-04 00:57:26
5307465842,0,s_00004,1.0,2020-10-04 00:57:27
5307465843,28315286,s_00002,1.0,2020-10-04 00:58:05
5307465844,93334576,s_00001,1.0,2020-10-04 00:59:12
5307465845,0,s_00001,1.0,2020-10-04 01:00:32
5307465845,0,s_00004,1.0,2020-10-04 01:00:32
5307465846,0,s_00001,1.0,2020-10-04 01:01:03
5307465847,63434506,s_00001,1.0,2020-10-04 01:01:59
5307465847,63434506,s_00005,1.0,2020-10-04 01:01:59
5307465848,34278867,s_00004,1.0,2020-10-04 01:06:32
5307465849,0,s_00004,1.0,2020-10-04 01:10:07
5307465850,21460497,s_00001,1.0,2020-10-04 01:10:10
5307465851,12925479,s_00001,1.0,2020-10-04 01:16:41
5307465851,12925479,s_00005,1.0,2020-10-04 01:16:41
5307465852,47110575,s_00005,1.0,2020-10-04 01:23:00
5307465853,35116806,s_00004,1.0,2020-10-04 01:25:42
5307465854,69100125,s_00005,1.0,2020-10-04 01:33:17
